Nombre_Cancion,Nombre_Artista,cantidad_artistas,anio,mes,dia,nro_playlist,transmisiones,bpm,%_bailable,%_positividad,%_energia,%_sonido_acustico,%_instrumental,Género
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,61245289,122,81,74,71,14,0,Electrónica/Dance
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,611700552,90,59,52,48,38,5,Rock
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,61105704,120,80,33,70,22,0,Pop
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,610045621,154,66,63,69,21,0,Trance
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,609293408,101,74,43,69,12,0,Pop
Permission to Dance,BTS,1,2021,7,9,1801,608334048,125,70,65,74,1,0,Electrónica/Dance
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,608228647,114,80,42,68,2,0,Pop
august,Taylor Swift,1,2020,7,24,7324,607123776,90,51,42,61,53,0,Rock
thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,60680939,148,68,29,73,0,0,Trance
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,606361689,174,70,57,64,23,0,Hardcore
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,60350538,110,66,32,40,81,0,Pop
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,601863821,95,87,57,55,10,0,Rock
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,600976848,101,34,32,57,78,0,Pop
Softcore,The Neighbourhood,1,2018,3,9,3947,599770206,94,57,36,58,5,0,Rock
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,596152090,92,85,92,54,16,0,Rock
CUFF IT,Beyoncï¿,1,2022,7,29,7842,595900742,115,78,64,69,4,0,Pop
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,594482982,146,85,22,37,13,0,Trance
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,593917618,168,67,29,47,5,0,Hardcore
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,5148,588955257,91,57,30,89,10,0,Rock
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,58890931,148,50,49,76,12,0,Trance
Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,58687425,174,73,26,54,30,0,Hardcore
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,585695368,168,78,58,73,5,0,Hardcore
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,58473276,96,48,50,80,40,0,Rock
House Of Memories,Panic! At The Disco,1,2016,1,15,2948,582863434,110,51,48,82,0,0,Pop
Super Shy,NewJeans,1,2023,7,7,422,58255150,150,78,52,82,18,0,Trance
Columbia,Quevedo,1,2023,7,7,714,58149378,100,67,26,71,37,0,Rock
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,58054811,129,63,84,82,70,8,Electrónica/Dance
69,"Nicky Jam, Feid",2,2023,5,18,1134,57945987,93,79,58,62,11,0,Rock
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,579395142,92,77,76,84,3,0,Rock
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,57876440,130,67,96,88,12,19,Electrónica/Dance
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,578207856,116,75,36,76,12,0,Pop
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,573633020,153,56,42,52,5,0,Trance
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,57312735,170,62,55,80,15,0,Hardcore
Smoking on my Ex Pack,SZA,1,2022,12,9,811,57144458,81,47,33,68,24,0,Rock
Atlantis,Seafret,1,2015,4,22,3045,571386359,166,40,23,48,5,0,Hardcore
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,57089066,126,78,20,70,1,0,Electrónica/Dance
Angels Like You,Miley Cyrus,1,2020,11,27,3372,570515054,122,67,49,64,10,0,Electrónica/Dance
Conceited,SZA,1,2022,12,9,899,56870689,150,79,77,46,5,0,Trance
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,566954746,120,77,51,79,20,0,Pop
ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,56533272,142,49,48,67,10,0,Trance
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,563902868,88,31,31,63,47,27,Rock
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,560222750,134,71,14,61,1,0,Techno
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,55842345,128,75,79,63,33,0,Electrónica/Dance
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,556585270,83,46,34,64,31,0,Rock
Formula,Labrinth,1,2019,10,4,3444,554875730,145,57,23,66,4,6,Trance
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,553634067,170,81,56,48,21,0,Hardcore
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,54937991,115,90,74,54,16,0,Pop
SPACE MAN,Sam Ryder,1,2022,2,22,1329,54682594,80,47,33,83,18,0,Rock
Envolver,Anitta,1,2021,11,11,4673,546191065,92,81,40,73,15,0,Rock
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,54266102,130,77,84,89,17,0,Electrónica/Dance
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,54225632,110,76,96,72,32,0,Pop
Es un Secreto,Plan B,1,2010,7,20,492,540654286,95,84,52,77,12,0,Rock
Lady Mi Amor,Feid,1,2022,9,13,330,53987404,93,78,75,62,6,0,Rock
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,539595276,97,68,72,78,4,0,Rock
Dawn FM,The Weeknd,1,2022,1,7,811,53933526,78,27,10,49,62,0,Rock
Still Life,BIGBANG,1,2022,4,5,181,53909146,118,68,24,58,44,0,Pop
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,538115192,123,71,58,70,30,0,Electrónica/Dance
Stefania (Kalush Orchestra),KALUSH,1,2022,3,10,555,53729194,105,83,32,82,14,0,Pop
Mirror,Kendrick Lamar,1,2022,5,13,1929,53603447,92,66,29,65,23,0,Rock
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,532336353,96,54,25,74,14,0,Rock
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,530511203,95,77,40,47,2,0,Rock
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,528544703,172,74,79,66,11,0,Hardcore
HAPPY,NF,1,2023,3,25,660,52722996,106,73,22,86,31,0,Pop
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,527033089,95,81,56,70,4,0,Rock
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,52294266,168,56,63,87,39,0,Hardcore
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,52135248,123,69,82,76,6,0,Electrónica/Dance
Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,1,3788,520034544,148,50,96,82,47,0,Trance
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,51985779,84,43,14,74,1,0,Rock
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,518745108,67,53,50,53,23,0,Blues
Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,516784627,92,91,79,66,32,0,Rock
Far,SZA,1,2022,12,9,680,51641685,116,61,48,55,67,0,Pop
Sobrio,Maluma,1,2021,7,8,3506,513643924,178,76,63,77,14,0,Hardcore
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,510876816,123,75,93,86,8,0,Electrónica/Dance
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,50847624,178,62,56,66,18,0,Hardcore
Worst Day,Future,1,2022,2,11,910,50746620,89,65,60,60,11,0,Rock
Sky,Playboi Carti,1,2020,12,25,3297,506778838,140,79,56,91,26,0,Techno
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,505671438,83,57,56,72,23,0,Rock
Made You Look,Meghan Trainor,1,2022,10,21,3956,502574952,145,84,88,53,35,0,Trance
Light Switch,Charlie Puth,1,2022,1,19,4049,500340342,184,69,91,63,11,0,Hardcore
Ain't Shit,Doja Cat,1,2021,6,25,3436,499710590,124,86,62,49,51,0,Electrónica/Dance
Swim,Chase Atlantic,1,2017,10,4,2742,498960285,120,67,8,54,27,0,Pop
